batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-100000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
44100,1.87127,0.261741,0.261741,2.098e-07
44200,1.87169,0.260868,0.260868,1.81566e-06
44300,1.87132,0.261647,0.261647,7.93512e-07
44400,1.87123,0.261825,0.261825,2.29047e-07
44500,1.87124,0.261817,0.261817,8.37979e-06
44600,1.87136,0.26156,0.26156,1.78301e-07
44700,1.87114,0.262021,0.262021,1.82964e-07
44800,1.87156,0.261176,0.261176,1.56279e-05
44900,1.87149,0.261282,0.261282,4.27057e-07
45000,1.87122,0.261852,0.261852,1.48387e-07
45100,1.87122,0.261839,0.261839,1.31063e-06
45200,1.87117,0.261953,0.261953,1.60388e-07
45300,1.87143,0.261414,0.261414,3.743e-07
45400,1.87127,0.261748,0.261748,2.18968e-07
45500,1.87168,0.260895,0.260895,5.10426e-07
45600,1.87125,0.261789,0.261789,7.33452e-07
45700,1.87117,0.261949,0.261949,2.5483e-07
45800,1.87135,0.261603,0.261603,1.63494e-05
45900,1.87121,0.261867,0.261867,5.03413e-07
46000,1.87143,0.261451,0.261451,1.46952e-05
46100,1.87163,0.260993,0.260993,4.36605e-07
46200,1.87155,0.261173,0.261173,1.50096e-07
46300,1.87126,0.26176,0.26176,1.59732e-07
46400,1.87142,0.261435,0.261435,2.62587e-06
46500,1.8713,0.261681,0.261681,8.94862e-07
46600,1.87157,0.261117,0.261117,4.42183e-07
46700,1.87132,0.261674,0.261674,1.31498e-05
46800,1.87156,0.261144,0.261144,2.18366e-07
46900,1.87112,0.262058,0.262058,1.18163e-06
47000,1.87124,0.261801,0.261801,1.74439e-07
47100,1.87134,0.261599,0.261599,1.49066e-07
47200,1.87167,0.260909,0.260909,7.99575e-07
47300,1.8712,0.261897,0.261897,1.49615e-07
47400,1.87148,0.261305,0.261305,2.65818e-07
47500,1.8715,0.261294,0.261294,1.38475e-05
47600,1.87126,0.261762,0.261762,1.25728e-07
47700,1.87125,0.261781,0.261781,2.8903e-07
47800,1.87132,0.261628,0.261628,4.28784e-07
47900,1.87143,0.261405,0.261405,1.4972e-07
48000,1.87128,0.261726,0.261726,1.39109e-07
48100,1.87129,0.2617,0.2617,1.96135e-07
48200,1.87118,0.261928,0.261928,9.18567e-07
48300,1.87117,0.261964,0.261964,2.00923e-07
48400,1.87098,0.262345,0.262345,3.83833e-07
48500,1.87114,0.262013,0.262013,1.40847e-07
48600,1.87112,0.262058,0.262058,1.21911e-07
48700,1.87148,0.261305,0.261305,2.0587e-07
48800,1.87095,0.262412,0.262412,5.92325e-07
48900,1.87117,0.261956,0.261956,2.2073e-07
49000,1.87146,0.261347,0.261347,1.0023e-07
49100,1.87136,0.261558,0.261558,1.37877e-07
49200,1.87122,0.261839,0.261839,2.87785e-07
49300,1.87169,0.260867,0.260867,5.9757e-07
49400,1.87184,0.260569,0.260569,2.26011e-06
49500,1.87112,0.262054,0.262054,5.05682e-07
49600,1.87129,0.261692,0.261692,1.64933e-07
49700,1.8711,0.2621,0.2621,6.23972e-06
49800,1.87135,0.261576,0.261576,1.37572e-07
49900,1.87114,0.262016,0.262016,4.39988e-07
50000,1.87134,0.261605,0.261605,9.47753e-08
50100,1.87126,0.261762,0.261762,1.01634e-07
50200,1.87139,0.261499,0.261499,3.55591e-07
50300,1.87143,0.261421,0.261421,4.03655e-07
50400,1.87123,0.261838,0.261838,1.09547e-07
50500,1.87123,0.261824,0.261824,8.80641e-08
50600,1.87137,0.261532,0.261532,2.50918e-07
50700,1.87126,0.261764,0.261764,1.22103e-07
50800,1.87123,0.261826,0.261826,1.24758e-07
50900,1.87128,0.261729,0.261729,2.22617e-07
51000,1.8714,0.261473,0.261473,3.3973e-07
51100,1.87161,0.261032,0.261032,1.56916e-07
51200,1.87111,0.262069,0.262069,4.21894e-07
51300,1.87146,0.261346,0.261346,2.91916e-07
51400,1.87139,0.261495,0.261495,2.19415e-07
51500,1.87148,0.261306,0.261306,1.20398e-07
51600,1.87106,0.262181,0.262181,3.49017e-07
51700,1.8714,0.261481,0.261481,1.5097e-07
51800,1.87131,0.261666,0.261666,9.40986e-08
51900,1.87153,0.261203,0.261203,1.99022e-07
52000,1.871,0.262299,0.262299,1.88483e-07
52100,1.87118,0.261922,0.261922,2.24656e-07
52200,1.87161,0.261037,0.261037,1.22353e-07
52300,1.87101,0.262283,0.262283,4.60884e-07
52400,1.87109,0.262114,0.262114,7.72166e-08
52500,1.8711,0.262098,0.262098,1.18194e-07
52600,1.87135,0.261569,0.261569,9.54007e-07
52700,1.87141,0.26145,0.26145,1.19414e-07
52800,1.871,0.262289,0.262289,1.06471e-06
52900,1.8712,0.261909,0.261909,1.50414e-05
53000,1.87114,0.26203,0.26203,1.2785e-05
